"day","tra"
"20051113",false
"20051114",true
"20051115",true
"20051116",true
"20051117",true
"20051118",true
"20051119",false
"20051120",false
"20051121",true
"20051122",true
"20051123",true
"20051124",true
"20051125",true
"20051126",false
"20051127",false
"20051128",true
"20051129",true
"20051130",true
"20051201",true
"20051202",true
"20051203",false
"20051204",false
"20051205",true
"20051206",true
"20051207",true
"20051208",true
"20051209",true
"20051210",false
"20051211",false
"20051212",true
"20051213",true
"20051214",true
"20051215",true
"20051216",true
"20051217",false
"20051218",false
"20051219",true
"20051220",true
"20051221",true
"20051222",true
"20051223",true
"20051224",false
"20051225",false
"20051226",true
"20051227",true
"20051228",true
"20051229",true
"20051230",true
"20051231",false
"20060101",false
"20060102",false
"20060103",false
"20060104",true
"20060105",true
"20060106",true
"20061106",true
"20061107",true
"20061108",true
"20061109",true
"20061110",true
"20061111",false
"20061112",false
"20061113",true
"20061114",true
"20061115",true
"20061116",true
"20061117",true
"20061118",false
"20061119",false
"20061120",true
"20061121",true
"20061122",true
"20061123",true
"20061124",true
"20061125",false
"20061126",false
"20061127",true
"20061128",true
"20061129",true
"20061130",true
"20061201",true
"20061202",false
"20061203",false
"20061204",true
"20061205",true
"20061206",true
"20061207",true
"20061208",true
"20061209",false
"20061210",false
"20061211",true
"20061212",true
"20061213",true
"20061214",true
"20061215",true
"20061216",false
"20061217",false
"20061218",true
"20061219",true
"20061220",true
"20061221",true
"20061222",true
"20061223",false
"20061224",false
"20061225",true
"20061226",true
"20061227",true
"20061228",true
"20061229",true
"20061230",false
"20061231",false
"20070101",false
"20070102",false
"20070103",false
"20070104",true
"20070105",true
"20070106",false
"20070107",false
"20070108",true
"20070109",true
"20070110",true
"20070111",true
"20070112",true
"20070113",false
"20070114",false
"20070115",true
"20070116",true
"20070117",true
"20070118",true
"20070119",true
"20070120",false
"20070121",false
"20070122",true
"20070123",true
"20070124",true
"20070125",true
"20070126",true
"20070127",false
"20070128",false
"20070129",true
"20070130",true
"20070131",true
"20070201",true
"20070202",true
"20070203",false
"20070204",false
"20050804",true
"20050805",true
"20050806",false
"20050807",false
"20050808",true
"20050809",true
"20050810",true
"20050811",true
"20050812",true
"20050813",false
"20050814",false
"20050815",true
"20050816",true
"20050817",true
"20050818",true
"20050819",true
"20050820",false
"20050821",false
"20050822",true
"20050823",true
"20050824",true
"20050825",true
"20050826",true
"20050827",false
"20050828",false
"20050829",true
"20050830",true
"20050831",true
"20050901",true
"20050902",true
"20050903",false
"20050904",false
"20050905",true
"20050906",true
"20050907",true
"20050908",true
"20050909",true
"20050910",false
"20050911",false
"20050912",true
"20050913",true
"20050914",true
"20050915",true
"20050916",true
"20050917",false
"20050918",false
"20050919",true
"20050920",true
"20050921",true
"20050922",true
"20050923",true
"20050924",false
"20050925",false
"20050926",true
"20050927",true
"20050928",true
"20050929",true
"20050930",true
"20051001",false
"20051002",false
"20051003",false
"20051004",false
"20051005",false
"20051006",false
"20051007",false
"20051008",false
"20051009",false
"20051010",true
"20051011",true
"20051012",true
"20071201",false
"20071202",false
"20071203",true
"20071204",true
"20071205",true
"20071206",true
"20071207",true
"20071208",false
"20071209",false
"20071210",true
"20071211",true
"20071212",true
"20071213",true
"20080529",true
"20080530",true
"20080531",false
"20080601",false
"20080602",true
"20080603",true
"20080604",true
"20080605",true
"20080606",true
"20080607",false
"20080608",false
"20080609",true
"20080610",true
"20080611",true
"20080612",true
"20080613",true
"20080614",false
"20080615",false
"20080616",true
"20080617",true
"20080618",true
"20080619",true
"20080620",true
"20080621",false
"20080622",false
"20080623",true
"20080624",true
"20080625",true
"20080626",true
"20080627",true
"20080628",false
"20080629",false
"20080630",true
"20080701",true
"20080702",true
"20080703",true
"20080704",true
"20080705",false
"20080706",false
"20080707",true
"20080708",true
"20080709",true
"20080710",true
"20080711",true
"20080712",false
"20080713",false
"20080714",true
"20080715",true
"20080716",true
"20080717",true
"20080718",true
"20080719",false
"20080720",false
"20080721",true
"20080722",true
"20080723",true
"20080724",true
"20080725",true
"20080726",false
"20080727",false
"20080728",true
"20080729",true
"20080730",true
"20071215",false
"20071216",false
"20071217",true
"20071218",true
"20071219",true
"20071220",true
"20071221",true
"20071222",false
"20071223",false
"20071224",true
"20071225",true
"20071226",true
"20071227",true
"20071228",true
"20071229",false
"20071230",false
"20071231",true
"20080101",false
"20080102",false
"20080103",false
"20080104",true
"20080105",false
"20080106",false
"20080107",true
"20080108",true
"20080109",true
"20080110",true
"20080111",true
"20080112",false
"20080113",false
"20080114",true
"20080115",true
"20080116",true
"20080117",true
"20080118",true
"20080119",false
"20080120",false
"20080121",true
"20080122",true
"20080123",true
"20080124",true
"20080125",true
"20080126",false
"20080127",false
"20080128",true
"20080129",true
"20080130",true
"20080131",true
"20080201",true
"20080202",false
"20080203",false
"20080204",true
"20080205",true
"20080206",true
"20080207",true
"20080208",true
"20080209",false
"20080210",false
"20080211",true
"20080212",true
"20080213",true
"20080214",true
"20080215",true
"20080216",false
"20080217",false
"20080218",true
"20080219",true
"20080220",true
"20080221",true
"20080222",true
"20080223",false
"20080224",false
"20080225",true
"20080226",true
"20080227",true
"20080228",true
"20080229",true
"20080301",false
"20080302",false
"20080303",true
"20080304",true
"20080305",true
"20080306",true
"20080307",true
"20080308",false
"20080309",false
"20080310",true
"20080311",true
"20080312",true
"20080313",true
"20080314",true
"20080315",false
"20080316",false
"20080317",true
"20080318",true
"20080319",true
"20080320",true
"20080321",true
"20080322",false
"20080323",false
"20080324",true
"20080325",true
"20080326",true
"20080327",true
"20080328",true
"20080329",false
"20080330",false
"20080331",true
"20080401",true
"20080402",true
"20080403",true
"20080404",true
"20080405",false
"20080406",false
"20080407",true
"20080408",true
"20080409",true
"20080410",true
"20080411",true
"20080412",false
"20080413",false
"20080414",true
"20080415",true
"20080416",true
"20080417",true
"20080418",true
"20080419",false
"20080420",false
"20080421",true
"20080422",true
"20080423",true
"20080424",true
"20080425",true
"20080426",false
"20080427",false
"20080428",true
"20080429",true
"20080430",true
"20080501",false
"20080502",false
"20080503",false
"20080504",false
